City,Region,Total cases
Auckland,DHB NZ,116
Bay of Plenty,DHB NZ,21
Canterbury,DHB NZ,53
Capital and Coast,DHB NZ,63
Counties Manukau,DHB NZ,59
Hawke's Bay,DHB NZ,19
Hutt Valley,DHB NZ,15
Lakes,DHB NZ,11
MidCentral,DHB NZ,19
Nelson Marlborough,DHB NZ,27
Northland,DHB NZ,11
South Canterbury,DHB NZ,10
Southern,DHB NZ,118
Tairawhiti,DHB NZ,1
Taranaki,DHB NZ,15
Waikato,DHB NZ,117
Wairarapa,DHB NZ,6
Waitemata,NZ,108
West Coast,DHB NZ,3
Whanganui,DHB NZ,5
