City,Region,Number of cases,Change in last 24 hours
Auckland,DHB NZ,147,10
Bay of Plenty,DHB NZ,32,1
Canterbury,DHB NZ,92,6
Capital and Coast,DHB NZ,80,0
Counties Manukau,DHB NZ,81,4
Hawke's Bay,DHB NZ,33,4
Hutt Valley,DHB NZ,19,1
Lakes,DHB NZ,12,0
MidCentral,DHB NZ,27,5
Nelson Marlborough,DHB NZ,40,5
Northland,DHB NZ,17,1
South Canterbury,DHB NZ,10,0
Southern,DHB NZ,177,17
Tairawhiti,DHB NZ,1,0
Taranaki,DHB NZ,14,0
Waikato,DHB NZ,147,1
Wairarapa,DHB NZ,8,0
Waitemata,NZ,157,12
West Coast,DHB NZ,4,0
Whanganui,DHB NZ,8,0
