City,Region,Number of cases,Change in last 24 hours
Auckland,DHB NZ,159,4
Bay of Plenty,DHB NZ,40,2
Canterbury,DHB NZ,119,5
Capital and Coast,DHB NZ,83,1
Counties Manukau,DHB NZ,95,3
Hawke's Bay,DHB NZ,35,0
Hutt Valley,DHB NZ,21,0
Lakes,DHB NZ,12,0
MidCentral,DHB NZ,28,0
Nelson Marlborough,DHB NZ,48,2
Northland,DHB NZ,20,0
South Canterbury,DHB NZ,10,0
Southern,DHB NZ,200,5
Tairawhiti,DHB NZ,1,0
Taranaki,DHB NZ,14,0
Waikato,DHB NZ,163,4
Wairarapa,DHB NZ,8,0
Waitemata,NZ,171,2
West Coast,DHB NZ,5,1
Whanganui,DHB NZ,7,0
