City,Lat,Long,Type,Cases
Auckland,-36.8667,174.76667,City,20
Nelson,-41.27078,173.28404,City,2
Manawatu,-40.63333,175.275,City,2
Taupo,-38.68333,176.08333,City,1
Wellington,-41.28664,174.77557,City,8
Waikato,-37.8106,175.76237,City,5
Wellington Region,,,Region,1
Hawkes Bay,-39.6381,176.84918,City,1
Canterbury,-43.89834,171.73011,City,2
Southern DHB,,,Region,2
Rotorua,-38.13874,176.24516,City,1
Northland,,,Region,1
Taranaki,-37.0482,174.90019,City,2
Duniden,-45.87416,170.50361,City,3

