City,Region,Total cases
Auckland,DHB NZ,64
Bay of Plenty,DHB NZ,10
Canterbury,DHB NZ,40
Capital and Coast,DHB NZ,45
Counties Manukau,DHB NZ,33
Hawke's Bay,DHB NZ,11
Hutt Valley,DHB NZ,13
Lakes,DHB NZ,8
MidCentral,DHB NZ,10
Nelson Marlborough,DHB NZ,18
Northland,DHB NZ,6
South Canterbury,DHB NZ,3
Southern,DHB NZ,59
Tairawhiti,DHB NZ,1
Taranaki,DHB NZ,8
Waikato,DHB NZ,58
Wairarapa,DHB NZ,5
Waitemata,DHB NZ,54
West Coast,DHB NZ,2
Whanganui,DHB NZ,3
