City,Region,Number of cases,Change in last 24 hours
Auckland,DHB NZ,127,6
Bay of Plenty,DHB NZ,30,2
Canterbury,DHB NZ,66,7
Capital and Coast,DHB NZ,73,7
Counties Manukau,DHB NZ,70,8
Hawke's Bay,DHB NZ,29,5
Hutt Valley,DHB NZ,18,1
Lakes,DHB NZ,11,0
MidCentral,DHB NZ,21,1
Nelson Marlborough,DHB NZ,32,2
Northland,DHB NZ,13,0
South Canterbury,DHB NZ,10,0
Southern,DHB NZ,151,19
Tairawhiti,DHB NZ,1,0
Taranaki,DHB NZ,14,0
Waikato,DHB NZ,136,11
Wairarapa,DHB NZ,8,0
Waitemata,DHB NZ,129,12
West Coast,DHB NZ,4,1
Whanganui,DHB NZ,7,0
