City,Region,Active,Recovered,Deceased,Total,Change in last 24 hours
Auckland,DHB NZ,43,142, ,185,0
Bay of Plenty,DHB NZ,13,33, ,46,1
Canterbury,DHB NZ,65,81,7,153,3
Capital and Coast,DHB NZ,29,62,2,93,0
Counties Manukau,DHB NZ,25,86, ,111,1
Hawke's Bay,DHB NZ,17,24, ,41,0
Hutt Valley,DHB NZ,5,15, ,20,0
Lakes,DHB NZ,5,11, ,16,0
MidCentral,DHB NZ,4,27, ,31,0
Nelson Marlborough,DHB NZ,7,41, ,48,0
Northland,DHB NZ,17,11, ,28,1
South Canterbury,DHB NZ,10,6, ,16,1
Southern,DHB NZ,45,170,1,216,0
Tairawhiti,DHB NZ,3,1, ,4,0
Taranaki,DHB NZ,3,11, ,14,0
Waikato,DHB NZ,87,97,1,185,1
Wairarapa,DHB NZ,0,8, ,8,0
Waitemata,NZ,74,138, ,212,1
West Coast,DHB NZ,1,3,1,5,0
Whanganui,DHB NZ,1,7, ,8,0
