City,Region,Active,Recovered,Deceased,Total,Change in last 24 hours
Auckland,DHB NZ,22,151, ,173,-2
Bay of Plenty,DHB NZ,10,37, ,47,0
Canterbury,DHB NZ,43,109,10,162,0
Capital and Coast,DHB NZ,9,84,2,95,0
Counties Manukau,DHB NZ,16,108, ,124,2
Hawke's Bay,DHB NZ,14,30, ,44,1
Hutt Valley,DHB NZ,4,16, ,20,0
Lakes,DHB NZ,2,14, ,16,0
MidCentral,DHB NZ,1,30, ,31,0
Nelson Marlborough,DHB NZ,4,44, ,48,0
Northland,DHB NZ,6,22, ,28,0
South Canterbury,DHB NZ,8,9, ,17,1
Southern,DHB NZ,14,200,2,216,0
Tairawhiti,DHB NZ,0,4, ,4,0
Taranaki,DHB NZ,4,12, ,16,0
Waikato,DHB NZ,43,142,1,186,0
Wairarapa,DHB NZ,0,8, ,8,0
Waitemata,NZ,39,181,3,223,1
West Coast,DHB NZ,0,4,1,5,0
Whanganui,DHB NZ,0,9, ,9,0
