City,Region,Active,Recovered,Deceased,Total,Change in last 24 hours
Auckland,DHB NZ,39,148, ,187,1
Bay of Plenty,DHB NZ,14,33, ,47,0
Canterbury,DHB NZ,59,88,8,155,1
Capital and Coast,DHB NZ,29,64,2,95,0
Counties Manukau,DHB NZ,22,92, ,114,3
Hawke's Bay,DHB NZ,16,26, ,42,1
Hutt Valley,DHB NZ,5,15, ,20,0
Lakes,DHB NZ,4,12, ,16,0
MidCentral,DHB NZ,2,29, ,31,0
Nelson Marlborough,DHB NZ,5,43, ,48,0
Northland,DHB NZ,13,14, ,27,0
South Canterbury,DHB NZ,9,7, ,16,0
Southern,DHB NZ,31,184,1,216,0
Tairawhiti,DHB NZ,3,1, ,4,0
Taranaki,DHB NZ,2,12, ,14,0
Waikato,DHB NZ,77,107,1,185,0
Wairarapa,DHB NZ,0,8, ,8,0
Waitemata,NZ,69,142,1,212,0
West Coast,DHB NZ,0,4,1,5,0
Whanganui,DHB NZ,2,7, ,9,0
