City,Region,Number of cases,Change in last 24 hours
Auckland,DHB NZ,155,2
Bay of Plenty,DHB NZ,38,2
Canterbury,DHB NZ,114,15
Capital and Coast,DHB NZ,82,0
Counties Manukau,DHB NZ,92,4
Hawke's Bay,DHB NZ,35,2
Hutt Valley,DHB NZ,21,1
Lakes,DHB NZ,12,0
MidCentral,DHB NZ,28,0
Nelson Marlborough,DHB NZ,46,2
Northland,DHB NZ,20,2
South Canterbury,DHB NZ,10,0
Southern,DHB NZ,195,8
Tairawhiti,DHB NZ,1,0
Taranaki,DHB NZ,14,0
Waikato,DHB NZ,159,3
Wairarapa,DHB NZ,8,0
Waitemata,NZ,169,9
West Coast,DHB NZ,4,0
Whanganui,DHB NZ,7,0
