City,Region,Active,Recovered,Deceased,Total,Change in last 24 hours
Auckland,DHB NZ,46,139, ,185,0
Bay of Plenty,DHB NZ,13,32, ,45,0
Canterbury,DHB NZ,64,79,7,150,3
Capital and Coast,DHB NZ,42,49,2,93,0
Counties Manukau,DHB NZ,27,83, ,110,0
Hawke's Bay,DHB NZ,19,22, ,41,0
Hutt Valley,DHB NZ,7,13, ,20,0
Lakes,DHB NZ,5,11, ,16,0
MidCentral,DHB NZ,6,25, ,31,0
Nelson Marlborough,DHB NZ,9,39, ,48,0
Northland,DHB NZ,17,10, ,27,0
South Canterbury,DHB NZ,9,6, ,15,0
Southern,DHB NZ,62,154, ,216,0
Tairawhiti,DHB NZ,4,0, ,4,0
Taranaki,DHB NZ,3,11, ,14,0
Waikato,DHB NZ,90,93,1,184,1
Wairarapa,DHB NZ,0,8, ,8,0
Waitemata,NZ,84,127, ,211,5
West Coast,DHB NZ,1,3,1,5,0
Whanganui,DHB NZ,1,7, ,8,0
