City,Region,Number of cases,Change in last 24 hours
Auckland,DHB NZ,180,4
Bay of Plenty,DHB NZ,41,0
Canterbury,DHB NZ,139,3
Capital and Coast,DHB NZ,88,0
Counties Manukau,DHB NZ,103,2
Hawke's Bay,DHB NZ,41,0
Hutt Valley,DHB NZ,20,-2
Lakes,DHB NZ,16,0
MidCentral,DHB NZ,28,0
Nelson Marlborough,DHB NZ,48,0
Northland,DHB NZ,26,1
South Canterbury,DHB NZ,12,1
Southern,DHB NZ,210,1
Tairawhiti,DHB NZ,3,2
Taranaki,DHB NZ,14,0
Waikato,DHB NZ,177,0
Wairarapa,DHB NZ,8,0
Waitemata,NZ,200,5
West Coast,DHB NZ,5,0
Whanganui,DHB NZ,7,0
